year,title,genres
2018,Uzumaki,Drama  Horror  Mature  Mystery  Psychological  Seinen  Supernatural  Tragedy 
2018,Saint Young Men,Comedy  Seinen  Slice of Life  Supernatural 
2018,Song of the Long March,Action  Adventure  Drama  Gender Bender  Historical  Romance  Seinen  Shoujo 
2018,19 Days,Comedy  Drama  School Life  Shounen Ai  Slice of Life 
2018,3D Kanojo,Comedy  Drama  Romance  School Life  Shoujo 
2018,Koukou Debut,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2018,Onepunch-man,Action  Adventure  Comedy  Drama  Sci-fi  Seinen  Supernatural 
2018,My Hero Academia,Action  Comedy  Drama  Fantasy  School Life  Sci-fi  Shounen  Supernatural 
2018,Basara,Action  Adventure  Comedy  Drama  Fantasy  Gender Bender  Mature  Romance  Shoujo 
2018,Horimiya,Comedy  Romance  School Life  Shounen  Slice of Life 
2018,Aishiteruze Baby,Comedy  Drama  Romance  School Life  Shoujo 
2018,Penguin Revolution,Comedy  Drama  Gender Bender  Harem  Romance  Shoujo 
2018,Muhyo & Roji's Bureau of Supernatural Investigation,Action  Comedy  Drama  Fantasy  Horror  Mystery  Shounen  Supernatural 
2018,Zombiepowder,Action  Comedy  Drama  Shounen  Supernatural 
2018,Body & Soul,Drama  Josei  Romance  Slice of Life 
2018,Kodomo no Omocha,Comedy  Drama  Romance  School Life  Shoujo  Slice of Life 
2018,Orange,Drama  Mystery  Romance  School Life  Seinen  Shoujo  Slice of Life  Supernatural 
2018,Shimanami Tasogare,Drama  Psychological  School Life  Seinen  Slice of Life  Supernatural 
2018,Yandere Kanojo,Comedy  Romance  School Life  Shounen 
2018,Baby Steps,Comedy  Drama  Romance  School Life  Shounen  Slice of Life  Sports 
2018,Welcome to the Ballroom,Comedy  Drama  Romance  School Life  Shounen  Sports 
2018,The Ancient Magus' Bride,Comedy  Drama  Fantasy  Romance  Shounen  Slice of Life  Supernatural 
2018,Kimi wa Pet,Comedy  Drama  Josei  Mature  Romance  Slice of Life 
2018,Yowamushi Pedal,Comedy  Drama  School Life  Shounen  Sports 
2018,Keishichou Tokuhanka 007,Comedy  Mystery  Psychological  Romance  Shoujo  Supernatural 
2018,Real Clothes,Drama  Josei  Romance  Slice of Life 
2018,Ashita no Ou-sama,Drama  Josei  Romance  Slice of Life 
2018,Food Wars!,Comedy  Drama  School Life  Shounen 
2019,Wonder Cat Kyuu-chan,Comedy  Seinen  Slice of Life 
2019,Tetsugaku Letra,Drama  Psychological  Romance  School Life  Shounen  Slice of Life  Sports 
2019,Straighten Up! Welcome to Shika High's Competitive Dance Club,Comedy  School Life  Shounen  Sports 
2019,Fairy Tail: 100 Years Quest,Action  Adventure  Comedy  Drama  Ecchi  Fantasy  Shounen 
2019,Princess Jellyfish,Comedy  Drama  Gender Bender  Josei  Romance  Slice of Life 
2019,Blue Period,Drama  School Life  Seinen  Slice of Life 
2019,Hunter x Hunter,Action  Adventure  Drama  Fantasy  Horror  Martial Arts  Mature  Psychological  Shounen  Supernatural  Tragedy 
2019,Crimson Hero,Drama  Romance  School Life  Shoujo  Sports 
2019,Mob Psycho 100,Action  Comedy  Drama  Psychological  School Life  Sci-fi  Shounen  Slice of Life  Supernatural 
2019,Deadman Wonderland,Action  Drama  Mature  Sci-fi  Shounen  Supernatural  Tragedy 
2019,Jojo's Bizarre Adventure,Action  Adventure  Comedy  Drama  Historical  Horror  Mature  Mystery  Seinen  Shounen  Supernatural  Tragedy 
2019,Fuku o Kiru Nara Konna Fuu Ni,Comedy  Seinen  Slice of Life 
2019,Smile at the Runway,Romance  School Life  Shounen  Slice of Life 
2019,Piano no Mori,Comedy  Drama  Gender Bender  Seinen  Slice of Life 
2019,Drop!! ~A Tale of the Fragrance Princess~,Drama  Fantasy  Romance  Shoujo 
2019,Survive as the Hero's Wife,Drama  Fantasy  Historical  Romance  Shoujo 
2019,Cells at Work,Action  Comedy  Sci-fi  Shounen 
2019,"Yume no Shizuku, Ougon no Torikago",Drama  Harem  Historical  Josei  Mature  Romance 
2019,Junjou Drop,
2019,Senpai ga Urusai Kouhai no Hanashi,
2019,Mixed Vegetables,
2019,Kami no Shizuku,
2019,Oishii Kankei,
2019,Demon Slayer,
2019,I Sold My Life For Ten Thousand Yen Per Year,
2019,That Girl is Not Just Cute,
2019,Teppu,
2019,Gokushufudou: The Way of the House Husband,
2019,Namaikizakari,
2019,Kakuriyo: Bed and Breakfast for Spirits,
2019,Taisho Otome Otogibanashi,
2019,Kusuriya no Hitorigoto,
2019,I'm a Villainous Daughter So I'm Going to Keep the Last Boss,
2019,The Promised Neverland,
2019,Mizutama Honey Boy,
2020,Kingdom,
2020,Diner,
2020,Dr. Stone,
2020,Chuuka Ichiban,
2020,Moriking,
2020,Sommelière,
2020,Spy X Family,
2020,Black Clover,
2020,Mars,
2020,Chainsaw Man,
2020,Furare Girl,
2020,Kaiju No. 8,
2020,Ai no Tame ni,
2020,Hitome-chan is Shy with Strangers,
2020,Hard-Boiled Cop and Dolphin,
2020,Beauty Pop,
2020,Build King,
2020,JIshou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku,
2021,Tonari no Kinniku Joshi,
2021,Deborah is My Rival,
2021,Seifuku no Jo'ou-sama,
2021,Ron Kamonohashi: Deraged Detective,
2021,UNDEAD UNLUCK,
2021,Alice in Borderland,
2021,Tokyo Revengers,
2021,Otoyomegatari,
2021,Sign of Affection,
2022,"Wave, Listen to Me!",
2022,1122 - For a Happy Marriage,
2022,My Dress Up Darling,
